time [s],CA [mol/L]
0.0, 0.12742490386832384
30.0, 0.1239653046941681
60.0, 0.115971887037502
90.0, 0.12790708787978258
120.0, 0.20664603096576062
150.0, 0.18693411311258884
180.0, 0.3565492189259879
210.0, 0.3878939860068056
240.0, 0.2253185041382793
270.0, 0.20696389719718986
300.0, 0.19541175375524011
330.0, 0.09714667518139153
360.0, 0.3397446481719446
390.0, 0.34101856604655345
420.0, 0.35131090653917046
450.0, 0.24878337604988718
480.0, 0.13491844477697112
510.0, 0.17694097867209524
540.0, 0.3540322847265891
570.0, 0.10622951815892714
600.0, 0.14491066644441708
630.0, 0.10598502586034342
660.0, 0.590208978869759
690.0, 0.13839689644958894
720.0, 0.24505432677577918
750.0, 0.1846521152625299
780.0, 0.22222818384616178
810.0, 0.1451465827694681
840.0, 0.3288370297271821
870.0, 0.0999317424509415
900.0, 0.08729746483420131
930.0, 0.18858149205182298
960.0, 0.18254932038115257
990.0, 0.12361472710885418
1020.0, 0.3380500652803464
1050.0, 0.14111920589355634
1080.0, 0.2940463051544087
1110.0, 0.2502852076180297
1140.0, 0.10122249378420956
1170.0, 0.22002497176898905
1200.0, 0.21709438991402946
1230.0, 0.09371341368307012
1260.0, 0.2171479429368687
1290.0, 0.20015076277106264
1320.0, 0.237855628642301
1350.0, 0.33149575110880714
1380.0, 0.13167876332352477
1410.0, 0.17842926940417114
1440.0, 0.24754669323861778
1470.0, 0.28320562646703823
1500.0, 0.14481575580486214
1530.0, 0.13612574937143537
1560.0, 0.1304087497599582
1590.0, 0.09476687211353774
1620.0, 0.47875277732796157
1650.0, 0.2105633001658146
1680.0, 0.09726691985300656
1710.0, 0.18092824936182453
1740.0, 0.3420182494265325
1770.0, 0.11995447570155737
1800.0, 0.26245869758446333
1830.0, 0.3140707586196221
1860.0, 0.21059440260136061
1890.0, 0.14627380497847745
1920.0, 0.3177360550263913
1950.0, 0.16019798578532254
1980.0, 0.22043505548716877
2010.0, 0.21050037197084778
2040.0, 0.22083932834089304
2070.0, 0.15574932131903896
2100.0, 0.2352092837004141
2130.0, 0.17975576887613062
2160.0, 0.09985255363719572
2190.0, 0.18828405625372602
2220.0, 0.14383292940367856
2250.0, 0.10828602386486252
2280.0, 0.1094149508469972
2310.0, 0.30340618462800917
2340.0, 0.14183253062120713
2370.0, 0.28343687040201265
2400.0, 0.4334039052392849
2430.0, 0.404216537408829
2460.0, 0.2797814200588306
2490.0, 0.24978381371010752
2520.0, 0.1418697207428474
2550.0, 0.032000040686555764
2580.0, 0.27981424863310844
2610.0, 0.2262438711107768
2640.0, 0.27036923202172275
2670.0, 0.6316722751444002
