CA [mol/L],CB [mol/L],CC [mol/L]
0.964125569551407,0.4554663947648981,0.4171505752382334
0.5166041052119321,0.754707135676765,0.4628324963600162
0.45366978796178037,0.6228769819884014,0.4292770249169011
0.2947733814672253,1.014074711829591,0.6859061859692674
1.030008902165042,0.8209323251411643,0.508773471357644
0.3678198749402845,0.7169280381117299,0.3651824438583819
0.08994660985258729,0.8274077828872497,0.5226799930087445
0.756235234924566,0.6619142926157553,0.24801232085399805
0.8404143877999354,0.7016609986361375,0.3086768292827624
0.8379431994470803,0.5700064255003903,0.5143642109421844
0.6549532304570179,0.9661766994912249,0.29658674099844046
0.7986127163756814,0.6431919356390505,0.5462347633256569
0.22172039160965284,0.6307272849989117,0.5374042947822064
0.5583681328990223,0.6781324977425438,0.33068761774264205
0.3553651144457175,0.7838276297600367,0.35755130563743787
0.6166404167670435,0.5616414785663405,0.3357749352794343
0.8157398701155427,0.8411989325025966,0.5595505642498722
0.768026710929734,0.6902758505634944,0.3309387039927915
1.068798495712998,0.658937136594482,0.5554880933782059
0.8864473189551872,0.7668603493675471,0.43281686213678416
0.5105390830847572,0.7065406993983003,0.5129944390998029
0.6777546927121632,0.5521320436962753,0.3560159711816157
0.9800910639213813,0.6013235765916359,0.40983424221589776
0.8500901145024502,0.7507490376179754,0.4310835011011482
0.7202597705164265,0.800068384338784,0.3779868637043911
0.5459488156313816,0.7373127963740849,0.21308413140990157
0.6521909898395996,0.7473810654161447,0.4222947288889599
0.8367710066614992,0.9906559514219561,0.26764926467117267
0.6130437314656062,0.7320461264656477,0.39272732534720367
0.5606016037396584,0.95726363599661,0.4793033129787113
0.7854897934181154,0.8206900759176895,0.41879875717701986
0.7337841477203058,0.9390657867914616,0.3612116053639509
0.587707674050282,0.7971714214253496,0.44711142386064795
0.9071008596241044,0.7537009147336942,0.4398097360855969
0.7649567455336787,0.7302067392639656,0.45857633096720335
0.6978559233348306,0.8038534962899138,0.718459569375616
1.12649878738449,1.0306407865639575,0.43702809575041096
0.5467517918020666,0.8363664593702167,0.44951185565289603
